COUNTRY,FRENCH,REGION,,FRENCH,,CITIES
CAMEROON,CAMEROUN,Adamawa,,Adamaoua,,Djérem
CAMEROON,,Adamawa,,,,Faro-et-Déo
CAMEROON,,Adamawa,,,,Ngaoundere
CAMEROON,,Adamawa,,,,Mbéré
CAMEROON,,Adamawa,,,,Mayo-Banyo
CAMEROON,,Adamawa,,,,Vina
CAMEROON,,Adamawa,,,,Tibati
CAMEROON,,Adamawa,,,,Tignère
CAMEROON,,Adamawa,,,,Banyo
CAMEROON,,Adamawa,,,,Meiganga
CAMEROON,,Adamawa,,,,Ngaoundéré
CAMEROON,,Central Cameroon,,Centre,,Haute-Sanaga
CAMEROON,,Central Cameroon,,,,Lekié
CAMEROON,,Central Cameroon,,,,Yaounde
CAMEROON,,Central Cameroon,,,,Mbam et Inoubou
CAMEROON,,Central Cameroon,,,,Mbam et Kim
CAMEROON,,Central Cameroon,,,,Méfou et Afamba
CAMEROON,,Central Cameroon,,,,Méfou et Akono
CAMEROON,,Central Cameroon,,,,Mfoundi
CAMEROON,,Central Cameroon,,,,Nyong et Kellé
CAMEROON,,Central Cameroon,,,,Nyong et Mfoumou
CAMEROON,,Central Cameroon,,,,Nyong et So'o
CAMEROON,,East Cameron,,Est,,Bertoua
CAMEROON,,East Cameron,,,,Abong Mbang
CAMEROON,,East Cameron,,,,Batouri
CAMEROON,,East Cameron,,,,Lom -Et- Djerem
CAMEROON,,East Cameron,,,,Yokadouma
CAMEROON,,East Cameron,,,,Belabo
CAMEROON,,East Cameron,,,,Kadei
CAMEROON,,East Cameron,,,,Haut - Nyong
CAMEROON,,East Cameron,,,,Dimako
CAMEROON,,East Cameron,,,,Boumba - Et - Ngoko
CAMEROON,,East Cameron,,,,Doume
CAMEROON,,East Cameron,,,,Lomie
CAMEROON,,East Cameron,,,,Ndelele
CAMEROON,,East Cameron,,,,Moloundou
CAMEROON,,Far North,Extrême-Nord,,,Diamare
CAMEROON,,Far North,,,,Logone-et-Chari
CAMEROON,,Far North,,,,Mayo Danay
CAMEROON,,Far North,,,,Mayo Kani
CAMEROON,,Far North,,,,Mayo Sava
CAMEROON,,Far North,,,,Mayo Tsanaga
CAMEROON,,Littoral ,Littoral ,,,Littoral 
CAMEROON,,Littoral ,,,,Nkongsamba
CAMEROON,,Littoral ,,,,Douala
CAMEROON,,Littoral ,,,,Edea
CAMEROON,,Littoral ,,,,Yabassi
CAMEROON,,Littoral ,,,,Loum
CAMEROON,,Littoral ,,,,Manjo
CAMEROON,,Littoral ,,,,Nkam
CAMEROON,,Littoral ,,,,Mbanga
CAMEROON,,Littoral ,,,,Melong
CAMEROON,,Littoral ,,,,Dibombari
CAMEROON,,Littoral ,,,,Penja
CAMEROON,,Littoral ,,,,Sanaga-Maritime
CAMEROON,,Littoral ,,,,Moungo
CAMEROON,,Littoral ,,,,Ndom
CAMEROON,,Littoral ,,,,Ngambe
CAMEROON,,Littoral ,,,,Wouri
CAMEROON,,Littoral ,,,,Baré
CAMEROON,,Littoral ,,,,Nyanon
CAMEROON,,Littoral ,,,,Mouanko
CAMEROON,,Littoral ,,,,Pouma
CAMEROON,,North,Nord,,,Garoua
CAMEROON,,North,,,,Bénoué
CAMEROON,,North,,,,Guider
CAMEROON,,North,,,,Mayo-Tsanaga
CAMEROON,,North,,,,Mayo-Louti
CAMEROON,,North,,,,Figuil
CAMEROON,,North,,,,Mayo-Rey
CAMEROON,,North,,,,Pitoa
CAMEROON,,North,,,,Tcholliré
CAMEROON,,North,,,,Touboro
CAMEROON,,North,,,,Rei-Bouba
CAMEROON,,Northwest,Nord-Ouest,,,Bamenda
CAMEROON,,Northwest,,,,Kumbo
CAMEROON,,Northwest,,,,Mezam
CAMEROON,,Northwest,,,,Wum
CAMEROON,,Northwest,,,,Bengwi
CAMEROON,,Northwest,,,,Momo
CAMEROON,,Northwest,,,,Menchum
CAMEROON,,Northwest,,,,Boyo
CAMEROON,,Northwest,,,,Bui
CAMEROON,,Northwest,,,,Bali
CAMEROON,,Northwest,,,,Nkambé
CAMEROON,,Northwest,,,,Donga-Mantung
CAMEROON,,Northwest,,,,Ndop
CAMEROON,,Northwest,,,,Batibo
CAMEROON,,Northwest,,,,Bambui
CAMEROON,,Northwest,,,,Oshie
CAMEROON,,Northwest,,,,Balikumbat
CAMEROON,,Northwest,,,,Ndu
CAMEROON,,Northwest,,,,Belo
CAMEROON,,Northwest,,,,Fundong
CAMEROON,,Northwest,,,,Bafut
CAMEROON,,Northwest,,,,Bamboutos
CAMEROON,,South,South,Sud,,Dja-et-Lobo
CAMEROON,,South,,,,Sangmélima
CAMEROON,,South,,,,Mvila
CAMEROON,,South,,,,Ebolowa
CAMEROON,,South,,,,Océan
CAMEROON,,South,,,,Kribi
CAMEROON,,South,,,,Vallée-du-Ntem
CAMEROON,,South,,,,Ambam
CAMEROON,,Southwest,Southwest,Sud-Ouest,,Buea
CAMEROON,,Southwest,,,,Limbe
CAMEROON,,Southwest,,,,Fako
CAMEROON,,Southwest,,,,Kupe-Manenguba
CAMEROON,,Southwest,,,,Lebialem
CAMEROON,,Southwest,,,,Manyu
CAMEROON,,Southwest,,,,Meme
CAMEROON,,Southwest,,,,Ndian
CAMEROON,,West,West,Ouest,,Bafoussam
CAMEROON,,West,,,,Dschang
CAMEROON,,West,,,,Foumban
CAMEROON,,West,,,,Mbouda
CAMEROON,,West,,,,Foumbot
CAMEROON,,West,,,,Bafang
CAMEROON,,West,,,,Bamboutos
CAMEROON,,West,,,,Noun
CAMEROON,,West,,,,Bangangté
CAMEROON,,West,,,,Mezam
CAMEROON,,West,,,,Labialem
CAMEROON,,West,,,,Baham
CAMEROON,,West,,,,Momo
CAMEROON,,West,,,,Ngo-ketunjia
CAMEROON,,West,,,,Bamougoum
CAMEROON,,West,,,,Ndé
CAMEROON,,West,,,,Haut-Plateaux
CAMEROON,,West,,,,Haut-Nkam
CAMEROON,,West,,,,Mbam-et-Inoubou
CAMEROON,,West,,,,Mbam-et-Kim 
CAMEROON,,West,,,,Mifi
CAMEROON,,West,,,,Santchou
CAMEROON,,West,,,,Babadjou
CAMEROON,,West,,,,Kekem
CAMEROON,,West,,,,Magba
