 COUNTRY,,, REGION,,, CITIES / TOWN
Equatorial Guinea,,,Bata,,,Bata
Equatorial Guinea,,, Annobón,,,Malabo
Equatorial Guinea,,,Bioko Norte,,,Ebebiyín
Equatorial Guinea,,,Bioko Sur,,,Aconibe
Equatorial Guinea,,,Centro Sur,,,Añisoc
Equatorial Guinea,,,Kié-Ntem,,,Luba
Equatorial Guinea,,,Litoral,,,Evinayong
Equatorial Guinea,,,Wele-Nzas,,,Mongomo
Equatorial Guinea,,,Djibloho,,,Mengomeyén
Equatorial Guinea,,,Djibloho,,,Micomeseng
Equatorial Guinea,,,Djibloho,,,Rebola
Equatorial Guinea,,,Djibloho,,,Bidjabidjan
Equatorial Guinea,,,Djibloho,,,Niefang
Equatorial Guinea,,,Djibloho,,,Cogo
Equatorial Guinea,,,Djibloho,,,Nsok
Equatorial Guinea,,,Djibloho,,,San Antonio de Palé
Equatorial Guinea,,,Djibloho,,,Mbini
Equatorial Guinea,,,Djibloho,,,Nsork
Equatorial Guinea,,,Djibloho,,,Ayene
Equatorial Guinea,,,Djibloho,,,Nkimi
Equatorial Guinea,,,Djibloho,,,Machinda
Equatorial Guinea,,,Djibloho,,,Acurenam
Equatorial Guinea,,,Djibloho,,,Corisco
Equatorial Guinea,,,Djibloho,,,Baney
Equatorial Guinea,,,Djibloho,,,Bicurga
Equatorial Guinea,,,Djibloho,,,Nsang
Equatorial Guinea,,,Djibloho,,,Ncue
Equatorial Guinea,,,Djibloho,,,Bitica
Equatorial Guinea,,,Djibloho,,,Río Campo
Equatorial Guinea,,,Djibloho,,,Riaba
