"id","available_credits","entity_id","user_id"
1,1,1,3663
2,1,2,2988
3,1,3,3933
4,1,4,3443
5,1,5,4713
6,1,6,6259
7,1,7,4354
8,1,8,3774
9,1,9,3669
10,1,10,3832
11,1,11,3043
12,1,12,3444
13,1,13,4624
14,1,14,4170
15,2,15,4578
16,1,16,2894
17,1,17,6272
18,1,18,6258
19,1,19,6267
20,1,20,6262
21,1,21,4539
22,1,22,4430
23,1,23,3652
24,1,24,3199
25,1,25,3699
26,1,26,3454
27,1,27,3080
28,1,28,4593
29,1,29,4551
30,1,30,4126
31,1,31,4674
32,1,32,4651
33,0,33,4072
34,1,34,3337
35,1,35,4841
36,1,36,4363
37,1,37,3690
38,1,38,3458
39,1,39,4839
40,1,40,3132
41,1,41,3722
42,1,42,3943
43,1,43,4961
44,1,44,6275
45,1,45,2803
46,1,46,4230
47,1,47,4554
48,1,48,2908
49,1,49,4188
50,1,50,4564
51,1,51,4955
52,1,52,4943
53,1,53,3659
54,1,54,3428
55,1,55,4749
56,1,56,2990
57,1,57,2821
58,1,58,3033
59,1,59,3799
60,1,60,2926
61,1,61,3162
62,1,62,4339
63,1,63,3960
64,1,64,3446
65,1,65,3817
66,1,66,4826
67,1,67,2745
68,1,68,4935
69,1,69,3988
70,1,70,4954
71,1,71,3478
72,1,72,4253
73,1,73,3059
74,1,74,4218
75,1,75,3424
76,1,76,4553
77,1,77,4761
78,1,78,4985
79,1,79,3113
80,1,80,2758
81,1,81,4576
82,1,82,3515
83,1,83,4457
84,1,84,3142
85,1,85,4968
86,1,86,4029
87,1,87,3375
88,1,88,4890
89,1,89,6261
90,1,90,6271
91,1,91,6264
92,1,92,6266
93,1,93,6274
94,1,94,6270
95,1,95,2703
96,1,96,3805
97,1,97,6260
98,1,98,6263
99,1,99,6256
100,1,100,6276
101,1,101,6278
102,1,102,6257
103,1,103,6265
104,1,104,6268
105,1,105,6277
106,1,106,4517
107,1,107,4495
108,1,108,4324
109,1,109,4705
110,1,110,4650
111,1,111,6269
112,1,112,6273
113,1,113,3420
114,1,114,2942
115,1,115,4448
116,1,116,4067
117,1,117,4285
118,1,118,3532
119,1,119,4719
120,1,120,4187
121,1,121,4427
122,1,122,2802
123,1,123,4731
124,1,124,6279
125,1,125,4871
126,1,126,3847
127,1,127,4094
128,1,128,2747
129,1,129,3808
130,1,130,3497
131,1,131,4837
132,1,132,3357
133,1,133,3250
134,1,134,4401
135,1,135,3447
136,1,136,4952
137,1,137,4893
138,1,138,3716
139,1,139,4831
140,1,140,2893
141,1,141,4298
142,1,142,3508
143,1,143,3922
144,1,144,3957
145,1,145,4323
146,1,146,3168
147,1,147,4466
148,1,148,4489
149,1,149,3258
150,1,150,4718
151,1,151,2824
152,1,152,5009
153,1,153,2881
154,1,154,3108
155,1,155,4465
156,15,156,4870
157,1,157,2765
158,1,158,3104
159,1,159,4033
160,0,160,4566
161,1,161,2856
162,1,162,2810
163,1,163,3602
164,1,164,4616
165,1,165,2860
166,1,166,4378
167,1,167,3625
168,1,168,3968
169,1,169,2831
170,1,170,3057
171,1,171,3299
172,1,172,4444
173,1,173,4444
174,1,174,4444
175,1,175,4444
176,1,176,4512
177,1,177,2698
178,1,178,3217
179,1,179,3556
180,1,180,3516
181,1,181,4991
182,1,182,3984
183,1,183,2730
184,1,184,3634
185,1,185,4653
186,1,186,2907
187,1,187,2925
188,1,188,4859
189,1,189,4050
190,1,190,3374
191,1,191,2752
192,1,192,3511
193,1,193,3768
194,1,194,3656
195,1,195,4151
196,1,196,2978
197,1,197,4406
198,1,198,2714
199,1,199,2755
200,1,200,5011
201,1,201,2868
202,1,202,3959
203,1,203,2722
204,1,204,4250
205,1,205,4001
206,1,206,3572
207,1,207,3906
208,1,208,3246
209,1,209,3549
210,1,210,4989
211,1,211,3981
212,1,212,3563
213,1,213,3721
214,1,214,3633
215,1,215,3693
216,1,216,4836
217,1,217,3507
218,1,218,4089
219,1,219,3177
220,1,220,2826
221,1,221,4159
222,1,222,3255
223,1,223,4026
224,1,224,4885
225,1,225,4494
226,1,226,3277
227,1,227,3311
228,1,228,2725
229,1,229,4735
230,1,230,3407
231,1,231,3730
232,1,232,3595
233,1,233,3946
234,1,234,3359
235,1,235,3369
236,19,236,3180
237,1,237,4803
238,1,238,3782
239,1,239,3538
240,1,240,4664
241,1,241,4928
242,1,242,3885
243,1,243,3885
244,1,244,3249
245,1,245,3383
246,1,246,4988
247,1,247,3794
248,1,248,3382
249,1,249,3810
250,1,250,3170
251,1,251,4177
252,1,252,3590
253,1,253,3433
254,1,254,4772
255,1,255,4595
256,3,256,4474
257,1,257,3596
258,1,258,3450
259,1,259,4503
260,1,260,4158
261,1,261,6367
262,1,262,6375
263,1,263,6372
264,1,264,6325
265,1,265,6341
266,1,266,6338
267,1,267,6360
268,1,268,6328
269,1,269,6344
270,1,270,6330
271,1,271,3560
272,1,272,6393
273,1,273,6332
274,1,274,6356
275,1,275,6395
276,1,276,6358
277,1,277,6361
278,1,278,6374
279,34,279,3150
280,1,280,6467
281,1,281,6447
282,1,282,6458
283,1,283,4375
284,1,284,6446
285,1,285,6449
286,1,286,6506
287,1,287,6550
288,10,309,6728
289,1,310,6718
290,2,320,6807
291,0,322,6831
292,0,325,6878
293,7,326,6884
294,3,327,6884
295,3,328,6884
297,1,357,7184
298,0,370,7315
300,3,380,7470
301,5,338,6965
303,8,371,4474
304,4,382,7496
305,4,386,7509
306,4,388,7517
307,4,384,7497
308,3,387,7516
309,4,391,7550
310,4,390,7547
311,4,392,7571
312,4,393,7578
313,4,394,7602
314,4,395,7604
